Minimum,Maximum,Peak to Peak
1.52533332109,1.5363333106,0.0109999895096
1.52166662514,1.54183330536,0.0201666802168
1.52166662514,1.53816670775,0.016500082612
1.52166662514,1.54183330536,0.0201666802168
1.51616663039,1.54000000656,0.0238333761692
1.08350004852,1.89566676021,0.812166711688
1.51616663039,1.54916669726,0.0330000668764
0.628833340108,2.1229999423,1.49416660219
0.454666659236,2.1229999423,1.66833328307
0.916666710377,2.03500002623,1.11833331585
0.304333329946,2.1229999423,1.81866661236
0.878166648746,2.11566674709,1.23750009835
0.52433334142,1.92499993443,1.40066659302
1.1238333106,1.88283337355,0.759000062943
0.285999997705,2.08449997902,1.79849998131
1.31816662252,1.827833426,0.509666803479
1.31450002491,1.98183327913,0.667333254218
1.40066664219,1.68483336568,0.28416672349
1.43550000787,1.58766666055,0.152166652679
1.43366670907,1.5931666553,0.159499946237
1.46483337879,1.7104999423,0.245666563511
1.3511666894,1.70499994755,0.353833258152
1.03216669858,2.12116674185,1.08900004327
0.940499988198,2.1229999423,1.1824999541
0.736999985576,2.12116674185,1.38416675627
0.258499999344,2.11749994755,1.8589999482
0.914833313227,2.12116674185,1.20633342862
0.00550000013318,2.1229999423,2.11749994217
0.711333310604,2.1229999423,1.4116666317
0.637999981642,2.12116674185,1.48316676021
1.18800004721,2.12116674185,0.933166694641
1.38233335912,1.66833338141,0.286000022292
1.40800003409,1.67566657662,0.26766654253
1.43000001311,1.62616662383,0.196166610718
1.40800003409,1.66833338141,0.260333347321
1.30350003541,2.11749994755,0.813999912143
1.1788333565,1.97450008392,0.795666727424
0.997333332896,1.72699992657,0.729666593671
0.0714999994263,2.1193333447,2.04783334527
0.650833319128,2.1229999423,1.47216662318
0.803000020981,1.9488333106,1.14583328962
0.00550000013318,2.1229999423,2.11749994217
0.639833329618,2.12116674185,1.48133341223
0.81400001049,2.12116674185,1.30716673136
0.96616666317,2.1193333447,1.15316668153
1.30533333421,1.82050003409,0.515166699886
1.36399997771,1.63350001574,0.269500038028
1.40066664219,1.65183339715,0.251166754961
1.51616663039,1.54916669726,0.0330000668764
1.51800002754,1.54183330536,0.0238332778215
1.51616663039,1.54183330536,0.0256666749716
1.51800002754,1.54000000656,0.0219999790192
1.52166662514,1.54916669726,0.0275000721216
1.51800002754,1.54000000656,0.0219999790192
1.51983332634,1.54000000656,0.0201666802168
1.51983332634,1.532666713,0.0128333866596